uniqueID,type,title,location,captions
ep121,national,Single Mom wants Sparkle,GA,https://www.youtube.com/api/timedtext?v=vjsfYNZgd-8&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629928076&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=36A8E566345BBD47A91368E380CB4624EB24D963.3BF9F07244753A238CDA0EB60C634BABBAC70DF2&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep122,national,"First Child in Washington, DC",DC,https://www.youtube.com/api/timedtext?v=M7eOOZFIPsc&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939143&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=0582350D2BB8AC7EC923E50F6C3D4284C024E98C.5038170D9983CC2C27CEDB260FAC66A9469788CF&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep123,national,Impossible Dreams in LA,CA,https://www.youtube.com/api/timedtext?v=rQ3wKlhyb7w&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939299&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=1CA3E02E6C0B1119A9A6D7EA657074B2DBE93757.94071DE500D7FBCF0D6118DAFFF8D56DBFEFCCC8&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep124,national,Country-Fried Compromise,TN,https://www.youtube.com/api/timedtext?v=6lHEfoLcP4A&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939338&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=6C876584E5E99D3077B3EAFAE3E6047CAC40A072.A5E1E659C070A6D047E3CAB57873B36E1FA71BDD&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep125,national,Virginia Beach Goth,VA,https://www.youtube.com/api/timedtext?v=W2or525ZoU8&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xoaf=4&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939381&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxoaf&signature=CCCE451A1E414E97640B4FD180F03F09D8C41A46.E576008CD2CF22B6E33C18EA04F51EAE285813D4&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep126,national,New Jersey Jam,NJ,https://www.youtube.com/api/timedtext?v=wkhKhRUGo5Y&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939405&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=CB2150BA11252890D37A1EEA4588EBCC5A820827.5BF68BF83BE4D85DEB3C97F526C4B710F012EC56&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep127,national,Practical vs. Luxury in DC,DC,https://www.youtube.com/api/timedtext?v=h0W60wx_p7Q&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xoaf=4&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939444&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxoaf&signature=7D0035B9DAB77A4DBFEEAC43802DD5D32D0400F6.B8044AEA5114CBF0C137CD2E1E99D1925F18C706&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep128,national,Outnumbered in Atlanta,GA,https://www.youtube.com/api/timedtext?v=KJwwLBtBnFo&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xoaf=4&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939466&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxoaf&signature=C2A4AD5B650D3746F0078EB944A828C33547BC34.41B7CAB562A24838499D3CACC15BD58175AD2D50&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep129,national,Seeing a Future in Tacoma,WA,https://www.youtube.com/api/timedtext?v=tdBU4yoSWb0&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939494&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=6FFBD30F5C73ACDD7FC39D0E6BD22D7E3DE2773F.E79931ADC711A12113FBCE782E679E54B431E579&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
ep130,national,Moving Up in Chicago,IL,https://www.youtube.com/api/timedtext?v=z_iJhtHmlLQ&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xorp=true&xoaf=5&hl=en-GB&ip=0.0.0.0&ipbits=0&expire=1629939513&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxorp%2Cxoaf&signature=11B78B71F3F8BC29138267A910633BBA5DB5BE82.A8BD094563A50E7D10F58552F68F19EBB2CD5002&key=yt8&lang=en&at=1&cc&fmt=json3&xorb=2&xobt=3&xovt=3
